Plot Name,Plot Number,Artificial Cover Object Number ,Year,Date,Time,Survey Number,Eastern Redback Salamander Count,Redback form of Eastern Redback Salamander Count,Leadback form of Eastern Redback Salamander Count,Artificial Cover Object Age (year(s)),Observer Names,Precipitation in the Last 24 hours (mm),Air Temperature (°C),Soil Temperature (°C)                   ,Beaufort Sky Class,Beaufort Wind Class,Soil Moisture,Soil pH
Numéro de la parcelle,Numéro de la parcelle,Numéro de l’abri artificiel,Année,Date,Heure,Numéro du relevé,Nombre de salamandres cendrées,Nombre de salamandres cendrées (à dos rouge),Nombre de salamandres cendrées (à dos de plomb),Âge de l’abri artificiel (an(années)),Noms des observateurs,Précipitations depuis 24 heures (mm),Température de l’air (°C),Température du sol (°C),Catégorie de couverture nuageuse selon l’échelle de Beaufort,Catégorie de vent selon l’échelle de Beaufort,Humidité du sol,pH du sol
Cameron Lake Dunes,01 01,1,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,2,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,3,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,4,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,5,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,6,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,7,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,8,2004,12/05/2004,1:20PM,1,0,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
Cameron Lake Dunes,01 01,9,2004,12/05/2004,1:20PM,1,1,N/A,N/A,<1,"Brianna, Brad",5.8,21.3,N/A,0,2,N/A,6.8
